# Claude Code CLI surface — generated by tools/check-drift.zsh
# Do not hand-edit; regenerate with: zsh tools/check-drift.zsh snapshot
version | 2.1.220 (Claude Code)

# --- commands (commander-generated help) ---
claude agents | opt | --add-dir <directory>
claude import-conversations | usage | claude import-conversations [options] <exportPath>
claude install | opt | --force
claude install | opt | -h, --help
claude install | usage | claude install [options] [target]
claude mcp add | opt | --callback-port <port>
claude mcp add | opt | --client-id <clientId>
claude mcp add | opt | --client-secret
claude mcp add | opt | -H, --header <header...>
claude mcp add | opt | -e, --env <env...>
claude mcp add | opt | -h, --help
claude mcp add | opt | -s, --scope <scope>
claude mcp add | opt | -t, --transport <transport>
claude mcp add | usage | claude mcp add [options] <name> <commandOrUrl> [args...]
claude mcp add-from-claude-desktop | opt | -h, --help
claude mcp add-from-claude-desktop | opt | -s, --scope <scope>
claude mcp add-from-claude-desktop | usage | claude mcp add-from-claude-desktop [options]
claude mcp add-json | opt | --client-secret
claude mcp add-json | opt | -h, --help
claude mcp add-json | opt | -s, --scope <scope>
claude mcp add-json | usage | claude mcp add-json [options] <name> <json>
claude mcp get | opt | -h, --help
claude mcp get | usage | claude mcp get [options] <name>
claude mcp list | opt | -h, --help
claude mcp list | usage | claude mcp list [options]
claude mcp login | opt | --no-browser
claude mcp login | opt | -h, --help
claude mcp login | usage | claude mcp login [options] <name>
claude mcp logout | opt | -h, --help
claude mcp logout | usage | claude mcp logout [options] <name>
claude mcp remove | opt | -h, --help
claude mcp remove | opt | -s, --scope <scope>
claude mcp remove | usage | claude mcp remove [options] <name>
claude mcp reset-project-choices | opt | -h, --help
claude mcp reset-project-choices | usage | claude mcp reset-project-choices [options]
claude mcp serve | opt | --verbose
claude mcp serve | opt | -d, --debug
claude mcp serve | opt | -h, --help
claude mcp serve | usage | claude mcp serve [options]
claude mcp | opt | -h, --help
claude mcp | sub | add
claude mcp | sub | add-from-claude-desktop
claude mcp | sub | add-json
claude mcp | sub | get
claude mcp | sub | help
claude mcp | sub | list
claude mcp | sub | login
claude mcp | sub | logout
claude mcp | sub | remove
claude mcp | sub | reset-project-choices
claude mcp | sub | serve
claude mcp | usage | claude mcp [options] [command]
claude plugin details | opt | -h, --help
claude plugin details | usage | claude plugin details [options] <name>
claude plugin disable | opt | -a, --all
claude plugin disable | opt | -h, --help
claude plugin disable | opt | -s, --scope <scope>
claude plugin disable | usage | claude plugin disable [options] [plugin]
claude plugin enable | opt | -h, --help
claude plugin enable | opt | -s, --scope <scope>
claude plugin enable | usage | claude plugin enable [options] <plugin>
claude plugin eval init | opt | --bare
claude plugin eval init | opt | -h, --help
claude plugin eval init | usage | claude plugin eval init [options] [name]
claude plugin eval | opt | --ablation <mode>
claude plugin eval | opt | --allow-tools <tools...>
claude plugin eval | opt | --case <glob>
claude plugin eval | opt | --json [path]
claude plugin eval | opt | --judge-model <model>
claude plugin eval | opt | --keep-temp
claude plugin eval | opt | --max-cost-usd <usd>
claude plugin eval | opt | --model <model>
claude plugin eval | opt | --no-scaffold
claude plugin eval | opt | --output-dir <dir>
claude plugin eval | opt | --publish-report
claude plugin eval | opt | --report <path>
claude plugin eval | opt | --runs <n>
claude plugin eval | opt | --scaffold
claude plugin eval | opt | --tag <tag...>
claude plugin eval | opt | --threshold <0..1>
claude plugin eval | opt | --verbose
claude plugin eval | opt | -h, --help
claude plugin eval | sub | init
claude plugin eval | usage | claude plugin eval [options] [command] [target]
claude plugin init | opt | --author <name>
claude plugin init | opt | --author-email <email>
claude plugin init | opt | --description <text>
claude plugin init | opt | --with <components...>
claude plugin init | opt | -f, --force
claude plugin init | opt | -h, --help
claude plugin init | usage | claude plugin init|new [options] <name>
claude plugin install | opt | --config <key=value>
claude plugin install | opt | -h, --help
claude plugin install | opt | -s, --scope <scope>
claude plugin install | usage | claude plugin install|i [options] <plugin>
claude plugin list | opt | --available
claude plugin list | opt | --json
claude plugin list | opt | -h, --help
claude plugin list | usage | claude plugin list [options]
claude plugin marketplace add | opt | --scope <scope>
claude plugin marketplace add | opt | --sparse <paths...>
claude plugin marketplace add | opt | -h, --help
claude plugin marketplace add | usage | claude plugin marketplace add [options] <source>
claude plugin marketplace list | opt | --json
claude plugin marketplace list | opt | -h, --help
claude plugin marketplace list | usage | claude plugin marketplace list [options]
claude plugin marketplace remove | opt | --scope <scope>
claude plugin marketplace remove | opt | -h, --help
claude plugin marketplace remove | usage | claude plugin marketplace remove|rm [options] <name>
claude plugin marketplace update | opt | -h, --help
claude plugin marketplace update | usage | claude plugin marketplace update [options] [name]
claude plugin marketplace | opt | -h, --help
claude plugin marketplace | sub | add
claude plugin marketplace | sub | help
claude plugin marketplace | sub | list
claude plugin marketplace | sub | remove
claude plugin marketplace | sub | rm
claude plugin marketplace | sub | update
claude plugin marketplace | usage | claude plugin marketplace [options] [command]
claude plugin prune | opt | --dry-run
claude plugin prune | opt | -h, --help
claude plugin prune | opt | -s, --scope <scope>
claude plugin prune | opt | -y, --yes
claude plugin prune | usage | claude plugin prune|autoremove [options]
claude plugin tag | opt | --dry-run
claude plugin tag | opt | --push
claude plugin tag | opt | --remote <name>
claude plugin tag | opt | -f, --force
claude plugin tag | opt | -h, --help
claude plugin tag | opt | -m, --message <msg>
claude plugin tag | usage | claude plugin tag [options] [path]
claude plugin uninstall | opt | --keep-data
claude plugin uninstall | opt | --prune
claude plugin uninstall | opt | -h, --help
claude plugin uninstall | opt | -s, --scope <scope>
claude plugin uninstall | opt | -y, --yes
claude plugin uninstall | usage | claude plugin uninstall|remove [options] <plugin>
claude plugin update | opt | -h, --help
claude plugin update | opt | -s, --scope <scope>
claude plugin update | usage | claude plugin update [options] <plugin>
claude plugin validate | opt | --strict
claude plugin validate | opt | -h, --help
claude plugin validate | usage | claude plugin validate [options] <path>
claude plugin | opt | -h, --help
claude plugin | sub | autoremove
claude plugin | sub | details
claude plugin | sub | disable
claude plugin | sub | enable
claude plugin | sub | eval
claude plugin | sub | help
claude plugin | sub | i
claude plugin | sub | init
claude plugin | sub | install
claude plugin | sub | list
claude plugin | sub | marketplace
claude plugin | sub | new
claude plugin | sub | prune
claude plugin | sub | remove
claude plugin | sub | tag
claude plugin | sub | uninstall
claude plugin | sub | update
claude plugin | sub | validate
claude plugin | usage | claude plugin|plugins [options] [command]
claude project purge | opt | --all
claude project purge | opt | --dry-run
claude project purge | opt | -h, --help
claude project purge | opt | -i, --interactive
claude project purge | opt | -y, --yes
claude project purge | usage | claude project purge [options] [path]
claude project | opt | -h, --help
claude project | sub | help
claude project | sub | purge
claude project | usage | claude project [options] [command]
claude setup-token | opt | -h, --help
claude setup-token | usage | claude setup-token [options]
claude ultrareview | opt | --json
claude ultrareview | opt | --timeout <minutes>
claude ultrareview | opt | -h, --help
claude ultrareview | usage | claude ultrareview [options] [target]
claude update | opt | -h, --help
claude update | usage | claude update|upgrade [options]
claude | choices | --input-format = text stream-json
claude | choices | --output-format = text json stream-json
claude | choices | --permission-mode = acceptEdits auto bypassPermissions manual dontAsk plan
claude | choices | --prompt-suggestions = true false 1 0 yes no on off
claude | opt | --add-dir <directories...>
claude | opt | --agent <agent>
claude | opt | --agents <json>
claude | opt | --allow-dangerously-skip-permissions
claude | opt | --allowedTools, --allowed-tools <tools...>
claude | opt | --append-system-prompt <prompt>
claude | opt | --ax-screen-reader
claude | opt | --bare
claude | opt | --betas <betas...>
claude | opt | --bg, --background
claude | opt | --brief
claude | opt | --chrome
claude | opt | --dangerously-skip-permissions
claude | opt | --debug-file <path>
claude | opt | --disable-slash-commands
claude | opt | --disallowedTools, --disallowed-tools <tools...>
claude | opt | --effort <level>
claude | opt | --exclude-dynamic-system-prompt-sections
claude | opt | --fallback-model <model>
claude | opt | --file <specs...>
claude | opt | --fork-session
claude | opt | --forward-subagent-text
claude | opt | --from-pr [value]
claude | opt | --ide
claude | opt | --include-hook-events
claude | opt | --include-partial-messages
claude | opt | --input-format <format>
claude | opt | --json-schema <schema>
claude | opt | --max-budget-usd <amount>
claude | opt | --mcp-config <configs...>
claude | opt | --model <model>
claude | opt | --no-chrome
claude | opt | --no-session-persistence
claude | opt | --output-format <format>
claude | opt | --permission-mode <mode>
claude | opt | --plugin-dir <path>
claude | opt | --plugin-url <url>
claude | opt | --prompt-suggestions [value]
claude | opt | --remote-control [name]
claude | opt | --remote-control-session-name-prefix <prefix>
claude | opt | --replay-user-messages
claude | opt | --safe-mode
claude | opt | --session-id <uuid>
claude | opt | --setting-sources <sources>
claude | opt | --settings <file-or-json>
claude | opt | --strict-mcp-config
claude | opt | --system-prompt <prompt>
claude | opt | --tmux
claude | opt | --tools <tools...>
claude | opt | --verbose
claude | opt | -c, --continue
claude | opt | -d, --debug [filter]
claude | opt | -h, --help
claude | opt | -n, --name <name>
claude | opt | -p, --print
claude | opt | -r, --resume [value]
claude | opt | -v, --version
claude | opt | -w, --worktree [name]
claude | sub | agents
claude | sub | auth
claude | sub | auto-mode
claude | sub | doctor
claude | sub | gateway
claude | sub | install
claude | sub | mcp
claude | sub | plugin
claude | sub | plugins
claude | sub | project
claude | sub | setup-token
claude | sub | ultrareview
claude | sub | update
claude | sub | upgrade
claude | usage | claude [options] [command] [prompt]

# --- commands (hand-rolled help; heuristic parse) ---
claude daemon | opt | --any
claude daemon | opt | --help, -h
claude daemon | opt | --json-path <p>
claude daemon | opt | --keep-workers
claude daemon | opt | --log-file <p>
claude daemon | sub | logs
claude daemon | sub | run [json-path]
claude daemon | sub | status
claude daemon | sub | stop
claude daemon | sub | uninstall
claude daemon | usage | claude daemon [subcommand] [options]
claude remote-control | opt | --[no-]create-session-in-dir
claude remote-control | opt | --capacity <N>
claude remote-control | opt | --debug-file <path>
claude remote-control | opt | --name <name>
claude remote-control | opt | --permission-mode <mode>
claude remote-control | opt | --remote-control-session-name-prefix <prefix>
claude remote-control | opt | --session-id <id>
claude remote-control | opt | --spawn <mode>
claude remote-control | opt | -c, --continue
claude remote-control | opt | -h, --help
claude remote-control | opt | -v, --verbose
claude remote-control | usage | claude remote-control [options]

# --- .command() registrations mined from the binary ---
registration | add <name> <commandOrUrl> [args...]
registration | add <source>
registration | add-from-claude-desktop
registration | add-json <name> <json>
registration | agents
registration | auth
registration | auto-mode
registration | clear
registration | config
registration | critique
registration | defaults
registration | details <name>
registration | disable [plugin]
registration | doctor
registration | enable <plugin>
registration | eval [target]
registration | gateway
registration | get <name>
registration | import
registration | init <name>
registration | init [name]
registration | install <plugin>
registration | install [target]
registration | list
registration | login
registration | login <name>
registration | logout
registration | logout <name>
registration | marketplace
registration | mcp
registration | plugin
registration | project
registration | prune
registration | purge [path]
registration | remove <name>
registration | reset
registration | reset-project-choices
registration | serve
registration | setup
registration | setup-token
registration | show
registration | status
registration | tag [path]
registration | ultrareview [target]
registration | uninstall <plugin>
registration | update
registration | update <plugin>
registration | update [name]
registration | validate <path>
registration | xaa

# --- probes: commands registered but not walked above ---
probe-command | clear | not-invokable (got: Usage: claude [options] [command] [prompt])
probe-command | import codex | not-invokable (got: Usage: claude [options] [command] [prompt])
probe-command | import gemini | not-invokable (got: Usage: claude [options] [command] [prompt])
probe-command | import | not-invokable (got: Usage: claude [options] [command] [prompt])
probe-command | mcp xaa setup | not-invokable (got: Usage: claude mcp [options] [command])
probe-command | mcp xaa show | not-invokable (got: Usage: claude mcp [options] [command])
probe-command | mcp xaa | not-invokable (got: Usage: claude mcp [options] [command])
probe-command | setup | not-invokable (got: Usage: claude [options] [command] [prompt])
probe-command | show | not-invokable (got: Usage: claude [options] [command] [prompt])
probe-command | xaa | not-invokable (got: Usage: claude [options] [command] [prompt])

# --- probes: undocumented top-level flags ---
probe-flag | --append-system-prompt-file | recognized --append-system-prompt-file <file>
probe-flag | --system-prompt-file | recognized --system-prompt-file <file>

# --- subcommands advertised by the CLI but not walked by this tool ---
unwalked | (none)
